"b_start","series","rate","panel","measure","analysis_model","config"
1,"A",0.579075,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
1,"B",0.58045,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
1,"FWER",0.7448125,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
13,"A",0.5876875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
13,"B",0.70925,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
13,"FWER",0.8208875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
25,"A",0.592375,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
25,"B",0.8126,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
25,"FWER",0.883875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
37,"A",0.592775,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
37,"B",0.8779125,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
37,"FWER",0.9249875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
49,"A",0.595075,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
49,"B",0.9158875,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
49,"FWER",0.949675,"Permuted block randomization (factor = 1)","Power","ttest","Chronological bias (beta=0.826)"
1,"A",0.5847125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
1,"B",0.5856125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
1,"FWER",0.7466,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
13,"A",0.598575,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
13,"B",0.620725,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
13,"FWER",0.784425,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
25,"A",0.5987875,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
25,"B",0.6320875,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
25,"FWER",0.8071625,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
37,"A",0.598825,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
37,"B",0.6286,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.82365,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
49,"A",0.586925,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
49,"B",0.6038125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.8330125,"Permuted block randomization (factor = 1)","Power","lm_time","Chronological bias (beta=0.826)"
1,"A",0.5828,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
1,"B",0.58005,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
1,"FWER",0.7472125,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
13,"A",0.586275,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
13,"B",0.70885,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
13,"FWER",0.8211375,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
25,"A",0.5914,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
25,"B",0.8106,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
25,"FWER",0.883175,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
37,"A",0.591875,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
37,"B",0.8754,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
37,"FWER",0.9231625,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
49,"A",0.5937125,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
49,"B",0.9149375,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
49,"FWER",0.9484125,"Big stick design (a = 3)","Power","ttest","Chronological bias (beta=0.826)"
1,"A",0.5883125,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
1,"B",0.5878125,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
1,"FWER",0.7484125,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
13,"A",0.5929625,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
13,"B",0.6142,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
13,"FWER",0.778325,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
25,"A",0.5996,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
25,"B",0.6297,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
25,"FWER",0.8076625,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
37,"A",0.5949375,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
37,"B",0.624825,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.8212375,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
49,"A",0.58755,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
49,"B",0.5991,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.8307875,"Big stick design (a = 3)","Power","lm_time","Chronological bias (beta=0.826)"
1,"A",0.5804625,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
1,"B",0.5798375,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
1,"FWER",0.749025,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
13,"A",0.5780875,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
13,"B",0.704525,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
13,"FWER",0.8158875,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
25,"A",0.583025,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
25,"B",0.8061375,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
25,"FWER",0.8792625,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
37,"A",0.5836,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
37,"B",0.8686,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
37,"FWER",0.918525,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
49,"A",0.5828875,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
49,"B",0.90635,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
49,"FWER",0.94315,"Complete randomization","Power","ttest","Chronological bias (beta=0.826)"
1,"A",0.5773625,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
1,"B",0.5782875,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
1,"FWER",0.7447875,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
13,"A",0.57815,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
13,"B",0.5955625,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
13,"FWER",0.762975,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
25,"A",0.5836,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
25,"B",0.6113625,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
25,"FWER",0.79335,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
37,"A",0.5825375,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
37,"B",0.6134,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.810925,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
49,"A",0.5751125,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
49,"B",0.586175,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.8194625,"Complete randomization","Power","lm_time","Chronological bias (beta=0.826)"
1,"A",0.59905,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
1,"B",0.5998,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
1,"FWER",0.7621625,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
13,"A",0.5994,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
13,"B",0.6434,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
13,"FWER",0.79245,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
25,"A",0.598825,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
25,"B",0.6806625,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
25,"FWER",0.8184125,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
37,"A",0.6013625,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
37,"B",0.7090625,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
37,"FWER",0.8393875,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
49,"A",0.60005,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
49,"B",0.7268625,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
49,"FWER",0.852025,"Permuted block randomization (factor = 1)","Power","ttest","PBR (no bias)"
1,"A",0.6046625,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
1,"B",0.6018125,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
1,"FWER",0.7602375,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
13,"A",0.603625,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
13,"B",0.6287125,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
13,"FWER",0.7895125,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
25,"A",0.6065,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
25,"B",0.63725,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
25,"FWER",0.8124,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
37,"A",0.600775,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
37,"B",0.6347625,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
37,"FWER",0.8298125,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
49,"A",0.5905125,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
49,"B",0.6095125,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
49,"FWER",0.8356625,"Permuted block randomization (factor = 1)","Power","lm_time","PBR (no bias)"
