"b_start","series","rate","panel","analysis_model","chrono_key","measure"
1,"B",0.0226,"Permuted block randomization (factor = 1)","ttest","linear","Type I error"
13,"B",0.0387,"Permuted block randomization (factor = 1)","ttest","linear","Type I error"
25,"B",0.0612125,"Permuted block randomization (factor = 1)","ttest","linear","Type I error"
37,"B",0.089775,"Permuted block randomization (factor = 1)","ttest","linear","Type I error"
49,"B",0.1165,"Permuted block randomization (factor = 1)","ttest","linear","Type I error"
1,"B",0.0224,"Permuted block randomization (factor = 1)","lm_time","linear","Type I error"
13,"B",0.0237625,"Permuted block randomization (factor = 1)","lm_time","linear","Type I error"
25,"B",0.024675,"Permuted block randomization (factor = 1)","lm_time","linear","Type I error"
37,"B",0.023775,"Permuted block randomization (factor = 1)","lm_time","linear","Type I error"
49,"B",0.024275,"Permuted block randomization (factor = 1)","lm_time","linear","Type I error"
1,"B",0.0238625,"Big stick design (a = 3)","ttest","linear","Type I error"
13,"B",0.0383375,"Big stick design (a = 3)","ttest","linear","Type I error"
25,"B",0.0625375,"Big stick design (a = 3)","ttest","linear","Type I error"
37,"B",0.0895875,"Big stick design (a = 3)","ttest","linear","Type I error"
49,"B",0.11645,"Big stick design (a = 3)","ttest","linear","Type I error"
1,"B",0.0240875,"Big stick design (a = 3)","lm_time","linear","Type I error"
13,"B",0.0236375,"Big stick design (a = 3)","lm_time","linear","Type I error"
25,"B",0.02385,"Big stick design (a = 3)","lm_time","linear","Type I error"
37,"B",0.0245625,"Big stick design (a = 3)","lm_time","linear","Type I error"
49,"B",0.0246,"Big stick design (a = 3)","lm_time","linear","Type I error"
1,"B",0.0250375,"Complete randomization","ttest","linear","Type I error"
13,"B",0.041425,"Complete randomization","ttest","linear","Type I error"
25,"B",0.0640375,"Complete randomization","ttest","linear","Type I error"
37,"B",0.0931625,"Complete randomization","ttest","linear","Type I error"
49,"B",0.1187,"Complete randomization","ttest","linear","Type I error"
1,"B",0.0240125,"Complete randomization","lm_time","linear","Type I error"
13,"B",0.025425,"Complete randomization","lm_time","linear","Type I error"
25,"B",0.023875,"Complete randomization","lm_time","linear","Type I error"
37,"B",0.025,"Complete randomization","lm_time","linear","Type I error"
49,"B",0.025775,"Complete randomization","lm_time","linear","Type I error"
1,"B",0.02435,"Permuted block randomization (factor = 1)","ttest","stepwise","Type I error"
13,"B",0.0399125,"Permuted block randomization (factor = 1)","ttest","stepwise","Type I error"
25,"B",0.0658625,"Permuted block randomization (factor = 1)","ttest","stepwise","Type I error"
37,"B",0.1099375,"Permuted block randomization (factor = 1)","ttest","stepwise","Type I error"
49,"B",0.171975,"Permuted block randomization (factor = 1)","ttest","stepwise","Type I error"
1,"B",0.025025,"Permuted block randomization (factor = 1)","lm_time","stepwise","Type I error"
13,"B",0.02535,"Permuted block randomization (factor = 1)","lm_time","stepwise","Type I error"
25,"B",0.0243875,"Permuted block randomization (factor = 1)","lm_time","stepwise","Type I error"
37,"B",0.0250625,"Permuted block randomization (factor = 1)","lm_time","stepwise","Type I error"
49,"B",0.0255875,"Permuted block randomization (factor = 1)","lm_time","stepwise","Type I error"
1,"B",0.0249625,"Big stick design (a = 3)","ttest","stepwise","Type I error"
13,"B",0.0403875,"Big stick design (a = 3)","ttest","stepwise","Type I error"
25,"B",0.0675125,"Big stick design (a = 3)","ttest","stepwise","Type I error"
37,"B",0.1091875,"Big stick design (a = 3)","ttest","stepwise","Type I error"
49,"B",0.173375,"Big stick design (a = 3)","ttest","stepwise","Type I error"
1,"B",0.0241625,"Big stick design (a = 3)","lm_time","stepwise","Type I error"
13,"B",0.0245,"Big stick design (a = 3)","lm_time","stepwise","Type I error"
25,"B",0.0257125,"Big stick design (a = 3)","lm_time","stepwise","Type I error"
37,"B",0.024925,"Big stick design (a = 3)","lm_time","stepwise","Type I error"
49,"B",0.0261375,"Big stick design (a = 3)","lm_time","stepwise","Type I error"
1,"B",0.0260375,"Complete randomization","ttest","stepwise","Type I error"
13,"B",0.0431625,"Complete randomization","ttest","stepwise","Type I error"
25,"B",0.0696125,"Complete randomization","ttest","stepwise","Type I error"
37,"B",0.1133875,"Complete randomization","ttest","stepwise","Type I error"
49,"B",0.1763625,"Complete randomization","ttest","stepwise","Type I error"
1,"B",0.0243125,"Complete randomization","lm_time","stepwise","Type I error"
13,"B",0.025125,"Complete randomization","lm_time","stepwise","Type I error"
25,"B",0.0251625,"Complete randomization","lm_time","stepwise","Type I error"
37,"B",0.0244375,"Complete randomization","lm_time","stepwise","Type I error"
49,"B",0.0249,"Complete randomization","lm_time","stepwise","Type I error"
1,"B",0.0244875,"Permuted block randomization (factor = 1)","ttest","inv_u","Type I error"
13,"B",0.0345125,"Permuted block randomization (factor = 1)","ttest","inv_u","Type I error"
25,"B",0.03815,"Permuted block randomization (factor = 1)","ttest","inv_u","Type I error"
37,"B",0.0343125,"Permuted block randomization (factor = 1)","ttest","inv_u","Type I error"
49,"B",0.023875,"Permuted block randomization (factor = 1)","ttest","inv_u","Type I error"
1,"B",0.0246875,"Permuted block randomization (factor = 1)","lm_time","inv_u","Type I error"
13,"B",0.0244875,"Permuted block randomization (factor = 1)","lm_time","inv_u","Type I error"
25,"B",0.0251125,"Permuted block randomization (factor = 1)","lm_time","inv_u","Type I error"
37,"B",0.0256125,"Permuted block randomization (factor = 1)","lm_time","inv_u","Type I error"
49,"B",0.0241125,"Permuted block randomization (factor = 1)","lm_time","inv_u","Type I error"
1,"B",0.025075,"Big stick design (a = 3)","ttest","inv_u","Type I error"
13,"B",0.034025,"Big stick design (a = 3)","ttest","inv_u","Type I error"
25,"B",0.038075,"Big stick design (a = 3)","ttest","inv_u","Type I error"
37,"B",0.034425,"Big stick design (a = 3)","ttest","inv_u","Type I error"
49,"B",0.0238,"Big stick design (a = 3)","ttest","inv_u","Type I error"
1,"B",0.0235875,"Big stick design (a = 3)","lm_time","inv_u","Type I error"
13,"B",0.0242875,"Big stick design (a = 3)","lm_time","inv_u","Type I error"
25,"B",0.024925,"Big stick design (a = 3)","lm_time","inv_u","Type I error"
37,"B",0.02435,"Big stick design (a = 3)","lm_time","inv_u","Type I error"
49,"B",0.0249125,"Big stick design (a = 3)","lm_time","inv_u","Type I error"
1,"B",0.0252125,"Complete randomization","ttest","inv_u","Type I error"
13,"B",0.034725,"Complete randomization","ttest","inv_u","Type I error"
25,"B",0.0378125,"Complete randomization","ttest","inv_u","Type I error"
37,"B",0.0361375,"Complete randomization","ttest","inv_u","Type I error"
49,"B",0.0248625,"Complete randomization","ttest","inv_u","Type I error"
1,"B",0.025025,"Complete randomization","lm_time","inv_u","Type I error"
13,"B",0.0259375,"Complete randomization","lm_time","inv_u","Type I error"
25,"B",0.0259375,"Complete randomization","lm_time","inv_u","Type I error"
37,"B",0.0257875,"Complete randomization","lm_time","inv_u","Type I error"
49,"B",0.024875,"Complete randomization","lm_time","inv_u","Type I error"
1,"B",0.0131375,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
13,"B",0.005,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
25,"B",0.0011625,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
37,"B",0.0031625,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
49,"B",0.011575,"Permuted block randomization (factor = 1)","ttest","seasonal","Type I error"
1,"B",0.0129875,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
13,"B",0.0133,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
25,"B",0.0129,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
37,"B",0.0113,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
49,"B",0.010675,"Permuted block randomization (factor = 1)","lm_time","seasonal","Type I error"
1,"B",0.0180625,"Big stick design (a = 3)","ttest","seasonal","Type I error"
13,"B",0.00795,"Big stick design (a = 3)","ttest","seasonal","Type I error"
25,"B",0.0021375,"Big stick design (a = 3)","ttest","seasonal","Type I error"
37,"B",0.0050125,"Big stick design (a = 3)","ttest","seasonal","Type I error"
49,"B",0.0145625,"Big stick design (a = 3)","ttest","seasonal","Type I error"
1,"B",0.016975,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
13,"B",0.0184625,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
25,"B",0.018375,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
37,"B",0.0155375,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
49,"B",0.0141375,"Big stick design (a = 3)","lm_time","seasonal","Type I error"
1,"B",0.0255625,"Complete randomization","ttest","seasonal","Type I error"
13,"B",0.0125,"Complete randomization","ttest","seasonal","Type I error"
25,"B",0.004275,"Complete randomization","ttest","seasonal","Type I error"
37,"B",0.0095375,"Complete randomization","ttest","seasonal","Type I error"
49,"B",0.02295,"Complete randomization","ttest","seasonal","Type I error"
1,"B",0.02495,"Complete randomization","lm_time","seasonal","Type I error"
13,"B",0.0245125,"Complete randomization","lm_time","seasonal","Type I error"
25,"B",0.023975,"Complete randomization","lm_time","seasonal","Type I error"
37,"B",0.0230375,"Complete randomization","lm_time","seasonal","Type I error"
49,"B",0.0250375,"Complete randomization","lm_time","seasonal","Type I error"
